municipality_mapped,svi_raw,svi_norm,hazard_mean,hazard_sd,hazard_q025,hazard_q975,risk_mean,risk_sd,risk_q025,risk_q975
kaspi,-0.232983724,0.365517123,0.297888185,0.00246648,0.292965586,0.302664977,0.330022693,0.001362122,0.327296257,0.332652962
khoni,0.098554201,0.488574634,0.287534509,0.004468878,0.278608693,0.295718634,0.375142565,0.002893446,0.369332273,0.380414595
kutaisi,-1.13428555,0.030979349,0.28358435,0.003763916,0.275814183,0.290575073,0.099683184,7.04E-04,0.098224207,0.100983651
lagodexi,0.170118627,0.515137327,0.214080645,0.002590302,0.209155278,0.218804988,0.333029412,0.001984327,0.329244185,0.336632428
lanchxuti,0.368987276,0.588951751,0.263643753,0.004798588,0.254316615,0.27234576,0.394829354,0.003551328,0.387885536,0.401231671
lentexi,0.598347055,0.674083621,0.122140825,0.005041494,0.110570834,0.130512503,0.290602894,0.005771301,0.277194236,0.300035969
marneuli,0.036947341,0.465707908,0.346045193,0.001711701,0.342483259,0.349165155,0.401548947,9.89E-04,0.399486353,0.403349374
martvili,0.338158783,0.577509085,0.302631428,0.004616969,0.294221539,0.311308571,0.418560144,0.003164911,0.412768161,0.424478658
mcxeta,-0.588542124,0.23354389,0.321477952,0.001959899,0.317639087,0.32512199,0.274128008,8.40E-04,0.272479199,0.275686739
mestia,-0.165633449,0.390515642,0.103767955,0.003653165,0.09581846,0.110303284,0.203433958,0.003435567,0.195868765,0.209507055
ninowminda,-0.443098408,0.287528488,0.079636018,0.003424043,0.072611836,0.085972369,0.153277337,0.003128854,0.146778106,0.158980809
oni,0.220141973,0.53370458,0.109280473,0.004342592,0.10024615,0.116588077,0.244620711,0.004653427,0.234829198,0.252348084
ozurgeti,0.082413137,0.482583527,0.324972307,0.004677872,0.315948649,0.333319531,0.396194292,0.002836516,0.390695564,0.401234174
poti,-0.434715289,0.290640065,0.237092359,0.004448367,0.228279848,0.245258083,0.262543293,0.002454011,0.2576499,0.267021311
qareli,0.102171012,0.489917092,0.246220933,0.002649026,0.240932803,0.251398634,0.34789077,0.001850398,0.344182999,0.35149363
qeda,0.656994796,0.695852005,0.263756014,0.004919084,0.254164904,0.27274157,0.429563001,0.003951542,0.42181168,0.436736728
qobuleti,-0.170204832,0.388818874,0.362803326,0.005199113,0.353126091,0.372265137,0.375582391,0.002688821,0.370554252,0.380454288
rustavi,-0.560785611,0.243846323,0.358970019,0.002326296,0.354106863,0.363665929,0.296040443,9.65E-04,0.294018402,0.297983315
sachxere,-0.184563,0.383489528,0.230547872,0.003922883,0.223157301,0.237742193,0.297647163,0.00250953,0.292894299,0.302224212
sagarejo,0.168309402,0.514465793,0.366024244,0.001709271,0.362521852,0.36921154,0.434084266,0.001009458,0.432012408,0.435963543
samtredia,-0.368105,0.315363922,0.245773978,0.003433211,0.238725347,0.252465743,0.278471621,0.001937151,0.274475402,0.282227452
senaki,-0.208547097,0.374587308,0.227458446,0.00554148,0.215554185,0.237490449,0.292177155,0.003533241,0.284525511,0.298515292
shuaxevi,1.048038365,0.84099633,0.136380911,0.003819536,0.129319423,0.143345076,0.342914163,0.004607928,0.334325889,0.351242435
signagi,0.146420595,0.506341287,0.304404388,0.001775754,0.300738607,0.307751003,0.392912735,0.001138115,0.390558575,0.395053036
tbilisi,-1.190807494,0.01,0.861618479,0.003183285,0.855213258,0.867819684,0.122031479,2.41E-04,0.121545677,0.122500542
telavi,-0.459093064,0.281591724,0.233864611,0.001951369,0.229977491,0.237594147,0.256660393,0.001066925,0.254528733,0.258693886
terjola,-0.179923342,0.385211637,0.272375952,0.003139384,0.265996446,0.278305859,0.3240581,0.001857788,0.320268084,0.327552708
tetriwyaro,0.104363547,0.490730899,0.28881381,0.002698312,0.283055156,0.293941003,0.376810365,0.001747063,0.373068886,0.380118766
tianeti,0.240171552,0.541138994,0.15514972,0.00487431,0.145275213,0.163792228,0.291662961,0.00446413,0.282537557,0.299489376
tyibuli,-0.00203048,0.451240442,0.270370591,0.005362223,0.260212509,0.280516062,0.349592029,0.003440917,0.343033904,0.35605704
vani,0.479121204,0.629830353,0.216350392,0.004325064,0.207829948,0.224513997,0.370542542,0.003638478,0.363328558,0.377361812
walenjixa,-0.229863742,0.366675172,0.326699757,0.005036675,0.31724941,0.336146798,0.346117045,0.002663911,0.341093617,0.3510885
walka,0.25491661,0.546611942,0.126935135,0.003760155,0.118814186,0.133771148,0.266053078,0.003800486,0.25776765,0.27288644
wyaltubo,0.093454865,0.486681904,0.263943182,0.00416382,0.255623062,0.271781066,0.358856015,0.002805217,0.353221927,0.364106344
xaragauli,0.208126086,0.529244622,0.163029335,0.003616088,0.156334893,0.169583047,0.295442219,0.003193701,0.289491563,0.301189961
xashuri,0.093019383,0.486520266,0.262310284,0.003050486,0.256177663,0.268159699,0.357700063,0.002059807,0.35354175,0.361634131
xelvachauri,0.034681746,0.464866983,0.35073905,0.005531123,0.340230768,0.360603335,0.403875586,0.00317396,0.397814943,0.409508388
xobi,-0.566467429,0.241737393,0.222646701,0.004901781,0.212700728,0.23151265,0.231990431,0.00255183,0.226774366,0.236572028
xulo,0.691075819,0.708501918,0.103071475,0.003795535,0.095083049,0.109764222,0.274989651,0.004795128,0.26477695,0.283344206
yazbegi,-0.44297808,0.287573151,0.02938196,0.002463657,0.024468169,0.03371468,0.098200698,0.00341095,0.091275869,0.104053999
yvareli,-0.006470397,0.44959247,0.223789284,0.002603328,0.218679297,0.228555914,0.317787222,0.001826213,0.314190196,0.321117052
zestafoni,-0.330575841,0.329293686,0.258757359,0.003028174,0.25273521,0.264498667,0.29196818,0.001701789,0.288570591,0.295181363
zugdidi,-0.240961274,0.362556082,0.282581083,0.00524615,0.272423317,0.292050667,0.320142544,0.002961647,0.31437405,0.325456127
