"region","municipality","population_total","healthcare_staff_per_1000","education_graduates_per_1000","child_dependency_ratio","old_age_dependency_ratio","disability_count","average_monthly_wage","disability_rate_per_1000","z_healthcare_staff_per_1000","z_education_graduates_per_1000","z_child_dependency_ratio","z_old_age_dependency_ratio","z_disability_rate_per_1000","z_average_monthly_wage","svi_composite"
"imereti","Tsqaltubo",37477,4.61514392991239,8.78702544847727,24.2535928302487,26.5736861642891,1368,1354.06024667178,36.5023881313872,0.650473073201988,0.623065701851904,-0.787926950724134,-0.109352444305197,0.412012795536846,-0.227542988342367,0.0934548645365065
"shida-qartli","Khashuri",49011,6.10004066693778,10.9394062627084,27.9625064495786,22.822908903285,1478,981.664111739886,30.1564954806064,0.330865196209869,-0.253928990750306,0.286446429049967,-0.382846297580586,0.0234582456424989,0.55412171744311,0.0930193833357588
"guria","Ozurgeti",55596,5.68247813228738,9.64949116803517,25.4797856794934,27.6205552849489,1607,1092.72225787899,28.9049571911648,0.420740991531777,0.271651187467371,-0.432731577924947,-0.0330183274646786,-0.0531725647872473,0.321009112386724,0.0824131368681666
"qvemo-qartli","Marneuli",109129,6.04771073928209,11.2038896522566,33.3653018913163,13.7370774156242,1012,916.782967920657,9.27342869448085,0.3421286441414,-0.361693623933064,1.85149220652929,-1.04535406353253,-1.25519726620234,0.690308147529872,0.0369473407554369
"adjara","Khelvachauri",52880,1.24906556647962,10.446730192375,27.4242466401402,15.008764851554,1401,1288.91913910356,26.4939485627837,1.37498484072126,-0.053186493884647,0.130526914599974,-0.952626963837671,-0.200796929702522,-0.0908108907034774,0.0346817461988187
"imereti","Tkibuli",15241,6.00077429345722,9.87224157955865,23.1934555370398,34.6538403272231,544,1385.0427612089,35.6931959845155,0.35223120375352,0.180890794422874,-1.09502045670208,0.479824769723339,0.362466528729587,-0.292575720528433,-0.00203048010019919
"kakheti","Qvareli",31032,4.10558132768681,8.34047230348974,24.9606419176273,26.5146513635671,708,1474.89228048701,22.815158546017,0.760150882729772,0.805015260001433,-0.583113683110095,-0.113657060123009,-0.426046658587346,-0.481171120597059,-0.00647039661438414
"guria","Chokhatauri",16738,8.23972257624707,10.3144728652301,25.2040646343495,33.0584707646177,646,1617.32163696918,38.5948141952444,-0.129678069473862,0.000702192167983854,-0.512600612782558,0.363495876079992,0.540130573786554,-0.780132335783171,-0.0863470626675102
"shida-qartli","Gori",113679,7.27909011373578,11.2073490813648,28.2571212622231,20.1816335207143,2568,1074.57602684706,22.5899242604175,0.0770876228853209,-0.36310317978269,0.371788484562574,-0.575439067471514,-0.439837595698633,0.359098305614476,-0.095067571648411
"javaxeti","Akhalkalaki",36522,2.62513362471414,14.6682724185058,30.4343514478382,18.5475340473357,467,878.306611561402,12.7868134275231,1.0788011535175,-1.77326785794165,1.0024740149223,-0.69459201378375,-1.0400751866656,0.771070558715355,-0.109264888539307
